OBJETO;SERVICO;PESO;QTD;POSTAGEM;VALOR;DECLARADO;A_COBRAR;DESTINATARIO;CEP;SITUACAO;DATA_SITUACAO;NF;DEPARTAMENTO;ADICIONAIS;CONTEUDO;CONTRATO_ECT;DESTINO;CODIGO_PP;LISTA_POSTAGEM;CIDADE;UF;PRAZO_ESTIMADO;PRAZO_REAL;OBS;ALTURA;LARGURA;COMPRIMENTO;CODIGO_ECT;CARTAO_POSTAGEM;PLP;RFID
OY855180706BR;SEDEX;560;1;28/08/2026;34,00;0,00;0,00;GIOVANNA ALVES LTDA;59619-400;Objeto em transferência - por favor aguarde;28/08/2026;;SEMI NOVOS;;1 x MANUAL E CHAVE = 0,00;;Brasil;4828389;191911;MOSSORO;RN;02/09/2026;;SEDEX;1;17;27;4014;;0;
OY855180207BR;SEDEX;2460;1;21/08/2026;149,70;0,00;0,00;GM DO BRASIL LTDA;09550-051;Objeto entregue ao destinatário;24/08/2026;233134;GERAL;;1 x PECAS =;0;Brasil;4821739;191651;SAO CAETANO DO SUL;SP;26/08/2026;24/08/2026;PECA;11;20;27;4014;0;0;
OY855178415BR;SEDEX;40;1;14/08/2026;104,50;0,00;0,00;ELITE MULTIMARCAS LTDA;35570-012;Objeto entregue ao destinatário;18/08/2026;;SEMI NOVOS;;1 x R30 DOCUMENTO = 0,00;0;Brasil;4811077;191265;FORMIGA;MG;19/08/2026;18/08/2026;SEDEX;1;8;16;4014;0;0;
OY855177698BR;SEDEX;2440;1;07/08/2026;149,70;0,00;0,00;GENERAL MOTORS,129;18087-165;Objeto entregue ao remetente;20/08/2026;232744-0;GERAL;;1 x PECAS =;0;Brasil;4809709;191063;SOROCABA;SP;11/08/2026;12/08/2026;;12;19;27;4014;0;0;
OY576488896BR;SEDEX;60;1;28/07/2026;107,00;0,00;0,00;MAZANI MULTIMARCAS LTDA;78030-445;Objeto entregue ao destinatário;03/08/2026;;IMOBILIARIO;;1 x DOCUMENTO R30 = 0,00;0;Brasil;4805356;190557;CUIABA;MT;31/07/2026;03/08/2026;SEDEX;1;8;16;4014;0;0;
